         1              2          3        4     5      6     7      8     9     10    11     12    13     14     15     16     17      18     19       20    21     22     23    24     25    26     27    28     29   30   31      32   33 34 35 36      37     38 39 40 41 42 43 44   45    46    47    48   49  50 51   52   53       54    55 56 57 58 59 60 61    62    63     64    65     66    67     68    69     70    71             72                   73                74
      SDSS J          R.A. (2000)  Dec.     z         u            g            r            i            z        A_u  log NH  FIRST    S/N    "      ROSAT   S/N    "      2MASS J      2MASS H      2MASS K      "   Flg   M_i   D(g-i) Mp SP Bl Um  BEST Flag  Lz Hz FT RT Sr St Gx  Run  R_MJD S_MJD Plate Fib Prs Col Frm  Obj TARGET Flag Lz Hz FT RT Sr St Gx   u_TARGET     g_TARGET     r_TARGET     i_TARGET     z_TARGET          BestObjID            SpecObjID         Other Name
000035.75-103305.3   0.148968 -10.551498 1.2182 19.396 0.041 19.442 0.029 19.029 0.015 18.993 0.023 19.133 0.066  0.181 20.444  0.000   0.000  0.000  -9.000  0.000  0.000 17.309 0.277 16.779 0.306  0.000 0.000  0.000 24 -25.278  0.135  0  1  1  0           2  1  0  0  0  0  0  0  1740 51814 52143  650  170  40  2   23  174           4  1  0  0  0  0  0  0 19.342 0.037 19.435 0.019 19.040 0.016 18.990 0.020 19.182 0.068   587727225690194094   183182688054673408 SDSS J000035.75-103305.3 
000038.66+011426.2   0.161085   1.240635 1.8349 20.756 0.085 20.400 0.025 20.576 0.037 20.050 0.041 19.756 0.104  0.144 20.497  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.170  0.078  0  0  1  0    34603008  0  0  0  0  1  0  0  2662 52197 52902 1091  559  40  6  283  184    34603008  0  0  0  0  1  0  0 20.756 0.085 20.400 0.025 20.576 0.037 20.050 0.041 19.756 0.104   587731187814564024   307316414295834624 SDSS J000038.65+011426.3 
000039.00-001803.9   0.162502  -0.301107 2.1249 19.237 0.044 19.075 0.022 18.884 0.017 18.883 0.018 18.786 0.044  0.174 20.484  0.000   0.000  0.000  -9.000  0.000  0.000 17.239 0.286  0.000 0.000  0.000 0.000  0.000 18 -26.687  0.002  0  1  1  0     1048578  1  0  0  0  1  0  0  3325 52522 51791  387  167  41  3  109   14     1179652  1  0  0  0  1  1  0 19.408 0.034 19.288 0.013 19.125 0.014 18.982 0.018 18.798 0.059   588015508732575758   109153257338699776 SDSS J000038.99-001803.9 
000041.58+010545.5   0.173271   1.095973 1.5402 20.617 0.074 20.412 0.035 20.364 0.032 20.143 0.043 19.973 0.122  0.135 20.491  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.666 -0.068  0  0  1  0    34603008  0  0  0  0  1  0  0  2662 52197 52902 1091  550  40  6  284  110    34603008  0  0  0  0  1  0  0 20.617 0.074 20.412 0.035 20.364 0.032 20.143 0.043 19.973 0.122   587731187814629486   307316414258085888 SDSS J000041.58+010545.5 
000042.02-004501.3   0.175101  -0.750386 1.3115 20.169 0.067 20.384 0.043 20.063 0.029 19.956 0.033 20.179 0.140  0.248 20.493  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.518  0.090  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52203  685  196  41  2  109   95    34603008  0  0  0  0  1  0  0 20.169 0.067 20.384 0.043 20.063 0.029 19.956 0.033 20.179 0.140   588015508195704927   193034570046636032 SDSS J000042.02-004501.3 
000042.89+005539.5   0.178749   0.927659 0.9511 18.354 0.037 18.145 0.015 17.930 0.011 17.879 0.021 17.788 0.024  0.145 20.484  0.000   0.000  0.000  -9.000  0.000  0.000 17.126 0.262 16.489 0.257 15.388 0.199  0.000 26 -25.783  0.172  0  1  1  0     1048578  1  0  0  0  1  0  0  3325 52522 51791  387  531  41  6  109   25     1179652  1  0  0  0  1  1  0 18.338 0.016 18.190 0.006 17.935 0.006 17.879 0.008 17.689 0.023   588015510343188505   109153258865426432 LBQS 2358+0038           
000043.70-001346.2   0.182124  -0.229504 2.1924 21.654 0.176 20.898 0.037 20.392 0.034 20.171 0.038 19.557 0.082  0.173 20.477  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.470  0.559  0  0  1  0           0  0  0  0  0  0  0  0  3325 52522 52902 1091   83  41  3  109  169           0  0  0  0  0  0  0  0 21.654 0.176 20.898 0.037 20.392 0.034 20.171 0.038 19.557 0.082   588015508732575913   307316412299345920 SDSS J000043.70-001346.2 
000043.95-091134.9   0.183142  -9.193038 0.4393 19.067 0.038 18.706 0.033 18.578 0.020 18.366 0.025 18.126 0.029  0.190 20.462  0.000   0.000  0.000  -9.000  0.000  0.000 17.076 0.160 16.324 0.196 15.122 0.128  0.234 13 -23.439  0.163  0  1  1  0     1048578  1  0  0  0  1  0  0  1740 51814 52143  650  538  40  5   23   54     1048580  1  0  0  0  1  0  0 18.991 0.024 18.688 0.009 18.582 0.015 18.367 0.012 18.125 0.027   587727227300806710   183182689598177280 SDSS J000043.95-091134.9 
000045.77+255106.1   0.190716  25.851720 1.4446 20.641 0.085 20.137 0.024 19.614 0.020 19.341 0.021 19.330 0.055  0.223 20.682 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.352  0.455  0  0  1  0    33554432  0  0  0  0  0  0  0  4836 53265 54389 2822  339  40  6  367  209    33554432  0  0  0  0  0  0  0 20.641 0.085 20.137 0.024 19.614 0.020 19.341 0.021 19.330 0.055   587740525078970577   794555984675602432                          
000046.15-003007.1   0.192320  -0.501993 1.4453 19.875 0.055 19.664 0.022 19.503 0.027 19.507 0.027 19.443 0.073  0.216 20.483  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000 16.220 0.214  0.000 0.000  0.000  6 -25.185 -0.182  0  0  1  0    34603008  0  0  0  0  1  0  0  2662 52197 52203  685  150  40  2  284   49     1179648  0  0  0  0  1  1  0 19.618 0.033 19.470 0.012 19.416 0.014 19.340 0.020 19.299 0.076   587731185667145777   193034569853698048 SDSS J000046.15-003007.1 
